,acc,batch,loss,size,val_acc,val_loss
0,0.1562,1405,0.09015000823137546,15,0.2586,0.0882926184801137
1,0.3663111111111111,1405,0.07585037905661317,15,0.5284,0.06406578844119996
2,0.6340888888888889,1405,0.05143543834655093,15,0.7186,0.04122679803823376
3,0.7928,1405,0.03549357933127896,15,0.8446,0.028544649469601852
4,0.8638222222222223,1405,0.02407386900731454,15,0.8772,0.020456587166508233
5,0.8852,1405,0.018905244556616754,15,0.893,0.017549196197051486
6,0.8968,1405,0.01657503952960254,15,0.9042,0.015836824972066274
7,0.9052666666666667,1405,0.015062310825094929,15,0.9104,0.014621898775685704
8,0.9122,1405,0.013886233894545371,15,0.9148,0.013851182155986401
9,0.9182444444444444,1405,0.01283868079412516,15,0.9228,0.012856537038337154
